[Data],,,
,Trunk Angle,Hip Angle,Knee Angle
,Trunk Flexion / Extension Joint Angle (deg),Hip Flexion / Extension Joint Angle (deg),Knee Flexion / Extension Joint Angle (deg)
Index,Series,Series,Series
667,-13.178091,-6.083197,1.956817
668,-13.163932,-6.081845,1.98407
669,-13.177132,-6.0723,1.982418
670,-13.183565,-6.083552,1.962492
671,-13.192881,-6.0766,1.966914
672,-13.203995,-6.063329,1.966665
673,-13.185489,-6.087727,1.952688
674,-13.225675,-6.055881,1.95556
675,-13.216599,-6.067401,1.94934
676,-13.208954,-6.064973,1.96041
677,-13.232635,-6.032452,1.973225
678,-13.23087,-6.059764,1.956292
679,-13.208803,-6.071135,1.964788
680,-13.231083,-6.03089,2.000772
681,-13.226563,-6.049169,1.987616
682,-13.237943,-6.024961,2.007415
683,-13.231062,-6.04592,1.997449
684,-13.222533,-6.051983,2.001116
685,-13.240374,-6.03894,2.009026
686,-13.236313,-6.049378,1.99809
687,-13.236032,-6.046917,2.009554
688,-13.274687,-6.059224,1.998407
689,-13.236913,-6.051392,1.983479
690,-13.233303,-6.052349,1.989988
691,-13.229624,-6.052693,2.023943
692,-13.257963,-6.015701,2.026125
693,-13.301656,-6.020146,2.046816
694,-13.29425,-6.042131,2.024222
695,-13.255194,-6.017617,2.038354
696,-13.253893,-6.018218,2.05174
697,-13.305619,-6.008664,2.077449
698,-13.306194,-5.991736,2.069062
699,-13.287396,-6.006023,2.083327
700,-13.289664,-5.996433,2.096248
701,-13.306471,-5.97513,2.092171
702,-13.313599,-5.99281,2.087337
