[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
547,16.474277,5.252356,-0.308777,-16.340424
548,16.491034,5.322816,-0.063882,-16.087074
549,16.512625,5.396053,0.182938,-15.838669
550,16.534628,5.470383,0.428967,-15.595505
551,16.554571,5.541721,0.674451,-15.356026
552,16.572012,5.60685,0.920028,-15.119072
553,16.586464,5.664853,1.164814,-14.885468
554,16.597313,5.71803,1.404767,-14.657089
555,16.604046,5.770663,1.631895,-14.434784
556,16.606031,5.826045,1.838918,-14.216469
557,16.60429,5.885539,2.027353,-13.996506
558,16.602552,5.950953,2.204327,-13.77021
559,16.606514,6.028629,2.369365,-13.539444
560,16.619616,6.124659,2.515232,-13.30954
561,16.641048,6.237308,2.641495,-13.081879
562,16.671238,6.362191,2.757236,-12.852814
563,16.712343,6.496274,2.875476,-12.616417
564,16.764349,6.636481,3.005276,-12.369209
