Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
11.4500,74.45,1.019107,0.296882,0.721476,0.139245,0.353871,0.152835,0.724065,0.957280,0.139489,0.450419,0.718665,0.295839
11.4600,74.92,1.020360,0.296558,0.664900,0.135780,0.353674,0.148789,0.724312,0.934395,0.136017,0.460930,0.718813,0.295497
11.4700,75.38,1.022460,0.277598,0.642800,0.131262,0.325990,0.143132,0.733918,0.919589,0.131590,0.425409,0.725710,0.276221
11.4800,75.85,1.039958,0.236737,0.639562,0.130180,0.273265,0.142108,0.741101,0.900174,0.130500,0.346608,0.732877,0.235732
11.4900,76.31,1.043085,0.194788,0.677270,0.120871,0.219884,0.131234,0.744248,0.890676,0.121198,0.266837,0.734491,0.193969
11.5000,76.78,1.049490,0.177950,0.755776,0.119785,0.199500,0.130081,0.744248,0.878064,0.120023,0.233537,0.737023,0.177440
11.5100,77.25,1.052770,0.175475,0.808624,0.122147,0.196394,0.132931,0.747602,0.872395,0.122489,0.226493,0.737605,0.174790
11.5200,77.71,1.051218,0.174451,0.917203,0.123392,0.194841,0.134192,0.749489,0.860864,0.123698,0.220083,0.740691,0.173856
11.5300,78.18,1.054506,0.174698,0.981176,0.123502,0.195063,0.134306,0.753143,0.833729,0.123825,0.218144,0.743856,0.174070
11.5400,78.64,1.061243,0.174828,0.995220,0.124737,0.195518,0.135922,0.755065,0.827132,0.125075,0.217788,0.745517,0.174182
11.5500,79.11,1.059492,0.172044,1.034422,0.124749,0.192185,0.135922,0.753071,0.824731,0.125041,0.212523,0.744851,0.171503
11.5600,79.57,1.062936,0.165110,1.042199,0.126015,0.183786,0.137431,0.755023,0.832105,0.126295,0.202046,0.747281,0.164641
11.5700,80.04,1.061177,0.161375,1.047049,0.126067,0.179178,0.137431,0.754995,0.870496,0.126331,0.196024,0.747709,0.160952
11.5800,80.50,1.059419,0.129689,1.060644,0.130825,0.141320,0.143001,0.754979,0.873091,0.131119,0.152114,0.747428,0.129400
11.5900,80.97,1.057663,0.118714,1.082911,0.133463,0.128272,0.145801,0.760430,0.843527,0.133761,0.137276,0.753058,0.118476
11.6000,81.43,1.057663,0.108677,1.088283,0.133549,0.116659,0.145801,0.762759,0.839779,0.133856,0.124212,0.755174,0.108472
11.6100,81.90,1.057663,0.106160,1.082666,0.136453,0.113633,0.148611,0.767957,0.844588,0.136468,0.120904,0.767598,0.106150
11.6200,82.36,1.052496,0.101917,0.980020,0.137701,0.108737,0.149874,0.767020,0.850029,0.137676,0.116692,0.767599,0.101931
11.6300,82.83,1.057663,0.101459,0.889475,0.140280,0.108219,0.152845,0.771130,0.849652,0.140217,0.117271,0.772550,0.101493
11.6400,83.29,1.061139,0.104075,0.843348,0.147680,0.111308,0.161550,0.769524,0.838487,0.147392,0.121555,0.775472,0.104222
11.6500,83.76,1.064674,0.104643,0.825018,0.151781,0.112000,0.166040,0.770995,0.838863,0.151100,0.122594,0.784386,0.104978
11.6600,84.23,1.068205,0.108382,0.826682,0.155566,0.116146,0.170193,0.775839,0.862147,0.154772,0.127398,0.790895,0.108782
11.6700,84.69,1.064695,0.112089,0.832131,0.154450,0.120306,0.168563,0.774882,0.918880,0.153507,0.131933,0.793041,0.112604
11.6800,85.16,1.066457,0.120757,0.828233,0.161606,0.130122,0.175809,0.779303,0.942553,0.159776,0.143484,0.812076,0.121826
11.6900,85.62,1.073552,0.139689,0.834242,0.166606,0.152353,0.182069,0.780022,0.947683,0.164711,0.169503,0.812076,0.141072
11.7000,86.09,1.078977,0.151315,0.842707,0.175394,0.166039,0.192668,0.784827,0.948661,0.173548,0.185543,0.813235,0.152737
11.7100,86.55,1.107003,0.159052,0.854939,0.183297,0.176023,0.202741,0.793426,0.927694,0.181032,0.196417,0.826143,0.160823
11.7200,87.02,1.216896,0.164004,0.864307,0.201167,0.182960,0.225674,0.847516,0.904033,0.198458,0.203558,0.884275,0.165890
11.7300,87.48,1.240429,0.169668,0.901089,0.216280,0.190258,0.245606,0.857880,0.893027,0.213746,0.210373,0.888312,0.171306
11.7400,87.95,1.249503,0.170629,0.927571,0.220161,0.191218,0.250913,0.867672,0.896869,0.218187,0.210233,0.890697,0.171871
11.7500,88.41,1.276733,0.171822,0.942445,0.254409,0.192874,0.294863,0.881725,0.905379,0.251753,0.211196,0.906068,0.173119
11.7600,88.88,1.309018,0.176896,0.954659,0.272263,0.197701,0.317341,0.921842,0.925790,0.271277,0.216383,0.930125,0.177341
11.7700,89.34,1.522957,0.186584,1.037197,0.284224,0.209542,0.333186,1.047668,0.954181,0.283382,0.226664,1.055696,0.186972
11.7800,89.81,1.566552,0.297745,0.929355,0.292340,0.352455,0.343879,1.071418,1.760601,0.291307,0.386358,1.081148,0.298820
